"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","E00004292","E00004292","Total",121,3,25,48,38,7,0
"2011","E00004293","E00004293","Total",119,0,30,57,28,4,0
"2011","E00004294","E00004294","Total",119,1,65,28,20,3,2
"2011","E00004604","E00004604","Total",136,0,85,23,20,7,1
"2011","E00004605","E00004605","Total",113,2,28,49,32,1,1
"2011","E00004612","E00004612","Total",142,1,89,38,9,2,3
"2011","E00004613","E00004613","Total",125,0,68,36,19,1,1
"2011","E00004614","E00004614","Total",224,3,97,73,36,10,5
"2011","E00004621","E00004621","Total",133,1,56,29,33,12,2
"2011","E00004615","E00004615","Total",102,3,35,30,21,11,2
"2011","E00004616","E00004616","Total",133,1,47,47,25,10,3
"2011","E00004617","E00004617","Total",114,0,46,57,10,0,1
"2011","E00004618","E00004618","Total",125,0,54,41,24,2,4
"2011","E00004619","E00004619","Total",123,2,70,23,18,8,2
"2011","E00004620","E00004620","Total",141,3,81,47,6,3,1
"2011","E00004622","E00004622","Total",209,0,80,69,36,13,11
"2011","E00004833","E00004833","Total",156,0,65,57,22,9,3
"2011","E00004834","E00004834","Total",185,1,77,59,20,15,13
"2011","E00004836","E00004836","Total",171,1,84,38,38,5,5
"2011","E00004838","E00004838","Total",131,0,75,23,23,7,3
"2011","E00004839","E00004839","Total",178,3,74,62,27,5,7
"2011","E00004134","E00004134","Total",100,3,36,45,4,3,9
"2011","E00004136","E00004136","Total",110,0,34,41,19,8,8
"2011","E00004138","E00004138","Total",142,6,83,30,19,4,0
"2011","E00004139","E00004139","Total",140,14,108,11,5,1,1
"2011","E00004144","E00004144","Total",102,0,6,52,41,0,3
"2011","E00004146","E00004146","Total",126,1,59,37,20,7,2
"2011","E00004147","E00004147","Total",126,1,62,43,14,3,3
"2011","E00004148","E00004148","Total",106,2,44,31,18,5,6
"2011","E00004149","E00004149","Total",149,1,23,64,41,12,8
"2011","E00004151","E00004151","Total",148,0,51,67,28,1,1
"2011","E00004153","E00004153","Total",108,1,45,41,18,0,3
"2011","E00004158","E00004158","Total",124,2,41,51,20,3,7
"2011","E00004161","E00004161","Total",96,0,32,23,27,10,4
"2011","E00004157","E00004157","Total",94,1,22,26,30,11,4
"2011","E00004159","E00004159","Total",160,2,47,63,44,4,0
"2011","E00004160","E00004160","Total",103,1,26,59,16,1,0
"2011","E00004164","E00004164","Total",160,3,44,62,49,1,1
"2011","E00004167","E00004167","Total",99,1,1,15,54,21,7
"2011","E00004122","E00004122","Total",103,0,16,41,29,15,2
"2011","E00004123","E00004123","Total",108,0,4,7,61,25,11
"2011","E00004163","E00004163","Total",163,1,45,56,39,13,9
"2011","E00004165","E00004165","Total",146,3,35,63,43,1,1
"2011","E00004166","E00004166","Total",157,3,46,64,43,1,0
"2011","E00004249","E00004249","Total",114,0,58,22,22,9,3
"2011","E00004252","E00004252","Total",115,0,51,29,13,15,7
"2011","E00004255","E00004255","Total",128,1,37,42,34,12,2
"2011","E00004258","E00004258","Total",111,1,41,32,28,5,4
"2011","E00004279","E00004279","Total",134,4,59,40,24,6,1
"2011","E00004281","E00004281","Total",115,0,39,49,17,7,3
"2011","E00004246","E00004246","Total",121,0,39,43,23,10,6
"2011","E00004250","E00004250","Total",127,0,40,34,23,23,7
"2011","E00004251","E00004251","Total",95,0,16,26,23,20,10
"2011","E00004280","E00004280","Total",108,0,43,28,23,9,5
"2011","E00004253","E00004253","Total",132,1,45,32,44,8,2
"2011","E00004256","E00004256","Total",149,0,56,59,21,13,0
"2011","E00004259","E00004259","Total",104,2,28,34,17,22,1
"2011","E00004261","E00004261","Total",114,0,41,30,34,8,1
"2011","E00004264","E00004264","Total",176,0,82,64,18,8,4
"2011","E00004244","E00004244","Total",100,0,45,21,29,4,1
"2011","E00004257","E00004257","Total",113,0,41,37,23,8,4
"2011","E00004260","E00004260","Total",136,12,104,19,1,0,0
"2011","E00004262","E00004262","Total",114,1,57,52,4,0,0
"2011","E00004263","E00004263","Total",121,0,38,19,54,9,1
"2011","E00004270","E00004270","Total",189,1,63,78,33,11,3
"2011","E00004271","E00004271","Total",142,1,57,39,25,13,7
"2011","E00004275","E00004275","Total",104,1,59,20,13,7,4
"2011","E00004277","E00004277","Total",135,3,50,60,14,3,5
"2011","E00004278","E00004278","Total",102,1,33,39,15,11,3
"2011","E00174656","E00174656","Total",115,1,48,41,12,6,7
"2011","E00174657","E00174657","Total",100,1,5,51,21,15,7
"2011","E00174658","E00174658","Total",80,0,14,42,16,7,1
"2011","E00004776","E00004776","Total",138,0,31,74,24,6,3
"2011","E00004798","E00004798","Total",111,1,28,43,34,2,3
"2011","E00004799","E00004799","Total",142,3,39,73,20,5,2
"2011","E00004801","E00004801","Total",133,0,27,63,35,6,2
"2011","E00004802","E00004802","Total",108,0,30,59,13,4,2
"2011","E00004804","E00004804","Total",113,3,36,42,27,4,1
"2011","E00004785","E00004785","Total",123,4,18,58,38,3,2
"2011","E00004787","E00004787","Total",145,4,47,52,33,6,3
"2011","E00004791","E00004791","Total",106,1,17,58,14,11,5
"2011","E00004792","E00004792","Total",117,0,26,28,49,8,6
"2011","E00004793","E00004793","Total",121,0,26,50,38,3,4
"2011","E00004795","E00004795","Total",101,0,28,33,21,10,9
"2011","E00004766","E00004766","Total",121,3,39,47,24,6,2
"2011","E00004767","E00004767","Total",142,0,43,61,20,10,8
"2011","E00004769","E00004769","Total",151,2,54,61,19,4,11
"2011","E00004774","E00004774","Total",108,1,40,55,10,0,2
"2011","E00004803","E00004803","Total",82,1,41,30,8,2,0
"2011","E00004812","E00004812","Total",160,0,47,66,37,8,2
"2011","E00004768","E00004768","Total",99,0,20,46,26,2,5
"2011","E00004770","E00004770","Total",91,0,11,39,23,5,13
"2011","E00004775","E00004775","Total",113,1,19,52,22,9,10
